ARTNR1|ABEZ1
212166|Rundstricknadeln ALU  244 silberf. 100 cm 5,00 mm
212170|Rundstricknadeln ALU  244 silberf. 40 cm 5,50 mm
212172|Rundstricknadeln ALU  244 silberf. 60 cm 5,50 mm
212174|Rundstricknadeln ALU  244 silberf. 80 cm 5,50 mm
212176|Rundstricknadeln ALU  244 silberf. 100 cm 5,50 mm
212180|Rundstricknadeln ALU  244 silberf. 40 cm 6,00 mm
212182|Rundstricknadeln ALU  244 silberf. 60 cm 6,00 mm
212184|Rundstricknadeln ALU  244 silberf. 80 cm 6,00 mm
212186|Rundstricknadeln ALU  244 silberf. 100 cm 6,00 mm
212194|Rundstricknadeln ALU  244 silberf. 80 cm 7,00 mm
212196|Rundstricknadeln ALU  244 silberf. 100 cm 7,00 mm
212200|Rundstricknadeln ALU  244 silberf. 40 cm 3,75 mm
218202|Jackenstricknadeln KST  030 grau 30 cm 5,50 mm A
218203|Jackenstricknadeln KST  030 grau 30 cm 6,00 mm A
218204|Jackenstricknadeln KST  030 grau 30 cm 6,50 mm
218205|Jackenstricknadeln KST  030 grau 30 cm 7,00 mm A
218215|Jackenstricknadeln KST  030 grau 35 cm 5,50 mm A
218216|Jackenstricknadeln KST  030 grau 35 cm 6,00 mm A
218217|Jackenstricknadeln KST  030 grau 35 cm 6,50 mm A
218218|Jackenstricknadeln KST  030 grau 35 cm 7,00 mm A
218219|Jackenstricknadeln KST  030 grau 35 cm 8,00 mm
218220|Jackenstricknadeln KST  030 grau 35 cm 9,00 mm
218221|Jackenstricknadeln KST  030 grau 35 cm 10,00 mm
218224|Jackenstricknadeln KST  030 grau 35 cm 20,00 mm
218225|Jackenstricknadeln KST  030 grau 35 cm 25,00 mm
218226|Jackenstricknadeln KST  030 grau 40 cm 5,50 mm A
218227|Jackenstricknadeln KST  030 grau 40 cm 6,00 mm A
218228|Jackenstricknadeln KST  030 grau 40 cm 6,50 mm A
218229|Jackenstricknadeln KST  030 grau 40 cm 7,00 mm A
218230|Jackenstricknadeln KST  830 grau 40 cm 8,00 mm
218231|Jackenstricknadeln KST  830 grau 40 cm 9,00 mm
218232|Jackenstricknadeln KST  830 grau 40 cm 10,00 mm
218233|Jackenstricknadeln KST  830 grau 40 cm 12 mm
218234|Jackenstricknadeln KST  830 grau 40 cm 15 mm
218235|Jackenstricknadeln KST  830 grau 40 cm 20 mm
218236|Jackenstricknadeln KST  830 grau 40 cm 25 mm
218499|Woll-Häkeln. o. Griff KST  032 grau 14 cm 6,00 mm
218500|Woll-Häkeln. o. Griff KST  032 grau 14 cm 7,00 mm
218501|Woll-Häkeln. o. Griff KST  032 grau 14 cm 8,00 mm
218502|Woll-Häkeln. o. Griff KST  032 grau 14 cm 9,00 mm
218503|Woll-Häkeln. o. Griff KST  032 grau 14 cm 10,00 mm
218505|Woll-Häkeln. o. Griff KST  032 grau 17 cm 12,00 mm
218506|Woll-Häkeln. o. Griff KST  032 grau 17 cm 15,00 mm
218643|Strumpfstricknadeln KST  033 grau 20 cm 5,50 mm
218644|Strumpfstricknadeln KST  033 grau 20 cm 6,0 mm
218645|Strumpfstricknadeln KST  033 grau 20 cm 7,0 mm
218646|Strumpfstricknadeln KST  033 grau 20 cm 6,5 mm
218650|Strumpfstricknadeln KST  033 grau 20 cm 8,0 mm
218651|Strumpfstricknadeln KST  033 grau 20 cm 9,0 mm
218652|Strumpfstricknadeln KST  033 grau 20 cm 10,0 mm
218654|Strumpfstricknadeln KST  033 grau 23 cm 12 mm
218914|Schnellstrickn. FLEX ALU  543 grau 60 cm 2,00mm
218915|Schnellstrickn. FLEX ALU  543 grau 60 cm 2,50mm
218916|Schnellstrickn. FLEX ALU  543 grau 60 cm 3,00mm
218917|Schnellstrickn. FLEX ALU  543 grau 60 cm 3,50mm
218918|Schnellstrickn. FLEX ALU  543 grau 60 cm 4,00mm
218919|Schnellstrickn. FLEX ALU  543 grau 60 cm 4,50mm
218920|Schnellstrickn. FLEX ALU  543 grau 60 cm 5,00mm
218921|Schnellstrickn. FLEX ALU  543 grau 60 cm 6,00mm
219900|Start in den Strickspaß A
221113|Jackenstricknadeln BAMBUS  020  33 cm 3,00 mm
221114|Jackenstricknadeln BAMBUS  020  33 cm 3,50 mm
221115|Jackenstricknadeln BAMBUS  020  33 cm 4,00 mm
221116|Jackenstricknadeln BAMBUS  020  33 cm 4,50 mm
221117|Jackenstricknadeln BAMBUS  020  33 cm 5,00 mm
221118|Jackenstricknadeln BAMBUS  020  33 cm 5,50 mm
221119|Jackenstricknadeln BAMBUS  020  33 cm 6,00 mm
221120|Jackenstricknadeln BAMBUS  020  33 cm 6,50 mm
221121|Jackenstricknadeln BAMBUS  020  33 cm 7,00 mm
221122|Jackenstricknadeln BAMBUS  020  33 cm 8,00 mm
221123|Jackenstricknadeln BAMBUS  020  33 cm 2,50 mm
221124|Jackenstricknadeln BAMBUS  020  33 cm 2,75 mm
221125|Jackenstricknadeln BAMBUS  020  33 cm 3,25 mm
221126|Jackenstricknadeln BAMBUS  020  33 cm 3,75 mm
221200|Strumpfstricknadeln BAMBUS  023  15 cm 2,00 mm
221201|Strumpfstricknadeln BAMBUS  023  15 cm 2,50 mm
221202|Strumpfstricknadeln BAMBUS  023  15 cm 3,00 mm
221203|Strumpfstricknadeln BAMBUS  023  15 cm 3,50 mm
221204|Strumpfstricknadeln BAMBUS  023  15 cm 4,00 mm
221210|Strumpfstricknadeln BAMBUS  023  20 cm 2,00 mm
221211|Strumpfstricknadeln BAMBUS  023  20 cm 2,50 mm
221212|Strumpfstricknadeln BAMBUS  023  20 cm 3,00 mm
221213|Strumpfstricknadeln BAMBUS  023  20 cm 3,50 mm
221214|Strumpfstricknadeln BAMBUS  023  20 cm 4,00 mm
221215|Strumpfstricknadeln BAMBUS  023  20 cm 4,50 mm
221216|Strumpfstricknadeln BAMBUS  023  20 cm 5,00 mm
221504|Rundstricknadeln BAMBUS  024  80 cm 3,00 mm
221505|Rundstricknadeln BAMBUS  024  80 cm 3,50 mm
221506|Rundstricknadeln BAMBUS  024  80 cm 4,00 mm
221507|Rundstricknadeln BAMBUS  024  80 cm 4,50 mm
221508|Rundstricknadeln BAMBUS  024  80 cm 5,00 mm
221509|Rundstricknadeln BAMBUS  024  80 cm 5,50 mm
221510|Rundstricknadeln BAMBUS  024  80 cm 6,00 mm
221511|Rundstricknadeln BAMBUS  024  80 cm 7,00mm
221512|Rundstricknadeln BAMBUS  024  80 cm 8,00mm
221514|Rundstricknadeln BAMBUS  024  60 cm 3,00 mm
221515|Rundstricknadeln BAMBUS  024  60 cm 3,50 mm
221516|Rundstricknadeln BAMBUS  024  60 cm 4,00 mm
221517|Rundstricknadeln BAMBUS  024  60 cm 4,50 mm
221518|Rundstricknadeln BAMBUS  024  60 cm 5,00 mm
221519|Rundstricknadeln BAMBUS  024  60 cm 5,50 mm A
221524|Rundstricknadeln BAMBUS  024  40 cm 3,00 mm
221525|Rundstricknadeln BAMBUS  024  40 cm 3,50 mm
221526|Rundstricknadeln BAMBUS  024  40 cm 4,00 mm
221527|Rundstricknadeln BAMBUS  024  40 cm 4,50 mm
221528|Rundstricknadeln BAMBUS  024  40 cm 5,00 mm
225101|"Strickhuber mit lustigem Aufdruck ""Prym for Kids"""
225102|Strickpüppchen mit Nadel+Anleitung INOX 9/46
225110|Flotte Maschen Auslauf
225150|Strickhilfe - Set
241144|Reißbrettstifte EIS goldfarbig
241190|Heftzwecken Jumbo
241227|Reißbrettstifte EIS weiß
241236|Reißbrettstifte EIS weiß
241238|Reißbrettstifte EIS bunt sortiert
241251|Reißbrettstifte EIS weiß
261170|Kleiderhaken und Augen EIS 2 schwarz
261189|Kleiderhaken und Augen EIS 2 schwarz
261191|Kleiderhaken und Augen EIS 3 schwarz
261194|Kleiderhaken und Augen EIS 2 silberfarbig
261216|Kleiderhaken und Augen EIS 3 silberfarbig
261219|Kleiderhaken und Augen EIS 2 silberfarbig
261306|Kleiderhaken und Augen EIS 3 schwarz
261369|Kleiderhaken und Augen EIS 3 silberfarbig
261423|Pelzhaken und Augen ST schwarz
261424|Pelzhaken und Augen ST braun
261427|Pelzhaken und Augen ST hellbeige
261453|Pelzhaken und Augen ST schwarz
261454|Pelzhaken und Augen ST braun
261455|Pelzhaken und Augen ST grau
261456|Pelzhaken und Augen ST hellbeige
261457|Joppenhaken und Augen EIS 9 silberfarbig
261458|Joppenhaken und Augen EIS 9 schwarz
261463|Joppenaugen EIS 9/10 schwarz
261470|Joppenhaken EIS 9 schwarz
261471|Joppenhaken EIS 10 schwarz
261522|Joppenhaken EIS 9 silberfarbig
261524|Joppenhaken EIS 10 silberfarbig
261532|Joppenaugen EIS 9/10 silberfarbig
261542|Miederhaken und Augen MS 11 silberfarbig klein
261545|Miederhaken und Augen MS 13 schwarz groß
261548|Miederhaken und Augen MS 13 silberfarbig groß
261549|Miederhaken und Augen MS 13 schwarz groß
261550|Miederhaken und Augen MS 13 silberfarbig groß
263201|Federhaken und Augen MS 2 schwarz
263227|Federhaken und Augen MS 3 silberfarbig
263230|Federhaken und Augen MS 1 schwarz
263231|Federhaken und Augen MS 3 schwarz
263235|Federhaken und Augen MS 1 silberfarbig
263238|Federhaken und Augen MS 2 silberfarbig
263431|Federhaken und Augen EIS 1 silberfarbig
263432|Federhaken und Augen EIS 2 silberfarbig
263433|Federhaken und Augen EIS 3 silberfarbig
263436|Federhaken und Augen EIS 1 schwarz
263437|Federhaken und Augen EIS 2 schwarz
263438|Federhaken und Augen EIS 3 schwarz
263844|Federhaken und Augen MS 1 silberfarbig
263845|Federhaken und Augen MS 2 silberfarbig
263846|Federhaken und Augen MS 3 silberfarbig
263849|Federhaken und Augen MS 1 schwarz
263850|Federhaken und Augen MS 2 schwarz
263851|Federhaken und Augen MS 3 schwarz
263857|Federhaken und Augen MS 1 silberfarbig
263858|Federhaken und Augen MS 2 silberfarbig
263859|Federhaken und Augen MS 3 silberfarbig
263863|Federhaken und Augen MS 1 schwarz
263864|Federhaken und Augen MS 2 schwarz
263865|Federhaken und Augen MS 3 schwarz
265223|Hosenhaken und Stege ST schwarz 9 mm
265225|Hosenhaken und Stege ST silberfarbig 12 mm
265227|Hosenhaken und Stege ST silberfarbig 9 mm
265230|Hosenhaken und Stege ST silberfarbig 6 mm
265231|Hosenhaken und Stege ST schwarz 6 mm
265233|Rock- und Hosenbundverschl. ST silberfarbig 4 mm
265241|Hosenhaken und Stege MS schwarz 9,5 mm
265242|Hosenhaken und Stege MS silberfarbig 9,5 mm
265244|Hosenhaken und Stege MS schwarz 9,5 mm
265245|Hosenhaken und Stege MS silberfarbig 9,5 mm
265262|Hosenhaken und Stege ST silberfarbig 12 mm
265263|Hosenhaken und Stege ST schwarz 12 mm
265265|Hosenhaken und Stege ST silberfarbig 9 mm
265266|Hosenhaken und Stege ST silberfarbig 6 mm
265268|Hosenhaken und Stege ST schwarz 9 mm
265811|NF-Haken und Stege ST silberfarbig/brüniert 13 mm
265815|NF-Haken und Stege ST silberfarbig/brüniert 13 mm
265820|Hosenhaken und Stege ST m. Schließplatte silberf.
266260|Hosenhaken und Stege ST schwarz 12 mm
267250|Rockbundverschlüsse ST schwarz 20 mm
267251|Rockbundverschlüsse ST schwarz 25 mm
267252|Rockbundverschlüsse ST schwarz 30 mm
267260|Rockbundverschlüsse ST silberfarbig 20 mm
267261|Rockbundverschlüsse ST silberfarbig 25 mm
267262|Rockbundverschlüsse ST silberfarbig 30 mm
267270|Rockbundverschlüsse ST schwarz 20 mm
267275|Rockbundverschlüsse ST silberfarbig 25 mm
267276|Rockbundverschlüsse ST silberfarbig 30 mm
267280|Rockbundverschlüsse ST silberfarbig 20 mm
267281|Rockbundverschlüsse ST silberfarbig 20 mm
267300|Rockbundverschlüsse ST schwarz 20 mm
267301|Rockbundverschlüsse ST silberfarbig 20 mm
267302|Rockbundverschlüsse ST schwarz 25 mm
267303|Rockbundverschlüsse ST silberfarbig 25 mm
267304|Rockbundverschlüsse ST schwarz 30 mm
267305|Rockbundverschlüsse ST silberfarbig 30 mm
282101|Maßband Junior 150 cm / cm
282102|Maßband Junior 150 cm 60 inch
282107|Maßband Thrifty 150 cm 60 inch
282118|Maßband Color Plus mit Knopf 150 cm 60 inch
282120|Maßband Color Plus mit Knopf 150 cm / cm
282121|Maßband Color 150 cm / cm
282122|Maßband Color 150 cm 60 inch
282125|Maßband Color Analog 150 cm 60 inch
282171|Maßband Profi mit Öse 150 cm / cm
282175|Maßband Profi mit Metallplatte 150 cm 60 inch
282201|Rollbandmaß Maxi 150 cm / cm
282209|Rollbandmaß Mini 150 cm / cm
282330|Maßband Profi mit Metallplatte 150 cm 60 inch
282335|Maßband Color 150 cm 60 inch
282336|Maßband Color Plus mit Knopf 150 cm 60 inch
282337|Maßband Color Analog 150 cm 60 inch
282341|Maßband Junior 150 cm / cm
282342|Maßband Junior 150 cm 60 inch
282460|Maßband Color Plus mit Knopf 150 cm / cm
282461|Maßband Color 150 cm / cm
282600|Maßband Fixo Plus selbstklebend A
282661|Maßband Profi mit Öse 150 cm / cm
282671|Maßband Glasfiber 150 cm / cm
282675|Maßband Profi Glasfiber 255 cm 100 inch
282690|Maßband Fixo Plus selbstklebend 150 cm / cm
282715|"Rollbandmaß Mini 150 cm mit Aufkl. ""Prym for Kids"
282717|Rollbandmaß Mini 150 cm 60 inch
282730|Rollbandmaß Mini 150 cm 60 inch
282758|Rollbandmaß Mini 150 cm / cm
301243|"Wäscheknöpfe Leinen 22""  14 mm"
301244|"Wäscheknöpfe Leinen 24""  15 mm"
301245|"Wäscheknöpfe Leinen 26""  17 mm"
301246|"Wäscheknöpfe Leinen 28""  18 mm"
301247|"Wäscheknöpfe Leinen 30""  19 mm"
301315|"Wäscheknöpfe Leinen 22""  14 mm"
301317|"Wäscheknöpfe Leinen 24""  15 mm"
301319|"Wäscheknöpfe Leinen 26""  17 mm"
301321|"Wäscheknöpfe Leinen 28""  18 mm"
302153|"Wäscheknöpfe Zwirn 22""  14 mm"
302154|"Wäscheknöpfe Zwirn 24""  15 mm"
302155|"Wäscheknöpfe Zwirn 26""  17 mm"
302156|"Wäscheknöpfe Zwirn 28""  18 mm"
311119|"Wäscheknöpfe Vulkanfiber 22""  14 mm"
311120|"Wäscheknöpfe Vulkanfiber 24""  15 mm"
311121|"Wäscheknöpfe Vulkanfiber 26""  17 mm"
311122|"Wäscheknöpfe Vulkanfiber 28""  18 mm"
311123|"Wäscheknöpfe Vulkanfiber 30""  19 mm"
311135|"Wäscheknöpfe Melaminharz 24""  15 mm"
311136|"Wäscheknöpfe Melaminharz 26""  17 mm"
311137|"Wäscheknöpfe Melaminharz 28""  18 mm"
311171|"Wäscheknöpfe Polyester 24"" 15 mm transparent"
311194|"Wäsche-Doppelknöpfe KST 24""  15 mm"
311195|"Wäsche-Doppelknöpfe KST 26""  17 mm"
311196|"Wäsche-Doppelknöpfe KST 28""  18 mm"
311208|Hemden-/Kittelknöpfe KST  anthrazit 11  + 9 mm
311209|"Blusenknöpfe KST 18""  perlmutt 11 mm"
311210|Hemden-/Kittelknöpfe KST  perlmutt 11 mm + 9 mm
311211|"Hemden-/Kittelknöpfe KST 20""  perlmutt 13 mm"
311214|"Hemden-/Kittelknöpfe KST 30""  perlmutt 19 mm"
311267|"Hemden-/Kittelknöpfe KST 22""  perlmutt 14 mm"
311268|"Hemden-/Kittelknöpfe KST 24""  perlmutt 15 mm"
311269|"Hemden-/Kittelknöpfe KST 26""  perlmutt 17 mm"
311270|"Hemden-/Kittelknöpfe KST 28""  perlmutt 18 mm"
311271|"Hemden-/Kittelknöpfe KST 32""  perlmutt 20 mm"
311310|Hosenknöpfe KST schwarz/grau 15+17 mm
311351|Standardknopf 15 mm schwarz
311352|Standardknopf 21 mm braun
311353|Standardknopf 21 mm schwarz
311520|"Unternähknöpfe KST 18""  transparent 11 mm"
311530|Flexi-Knöpfe mit Schlaufe 10 mm
311531|Flexi-Knöpfe mit Schlaufe 15 mm
311532|Flexi-Knöpfe mit Schlaufe 19 mm
311540|Flexi-Knöpfe mit Schlaufe je 1x1015+19 mm
311570|"Kittelknöpfe KST mit Ring 32""  weiß 20 mm"
311571|"Kittelknöpfe KST mit Ring 32""  grau 20 mm"
311595|"Jackenknöpfe KST 32""  schwarz 20 mm"
312101|Creativ-Knöpfe KST transparent 15 mm
312102|Creativ-Knöpfe KST transparent 22 mm
323118|"Überziehbare Knöpfe MS silberf. 18"" 11 mm o.Wzg"
323119|"Überziehbare Knöpfe MS silberf. 24"" 15 mm o.Wzg"
323120|"Überziehbare Knöpfe MS silberf. 30"" 19 mm o.Wzg"
323121|"Überziehbare Knöpfe MS silberf. 36"" 23 mm o.Wzg"
323122|"Überziehbare Knöpfe MS silberf. 45"" 29 mm o.Wzg"
323123|"Überziehbare Knöpfe MS silberf. 60"" 38 mm o.Wzg"
323150|"Überziehbare Knöpfe MS silberf. 18"" 11 mm o.Wzg"
323151|"Überziehbare Knöpfe MS silberf. 24"" 15 mm o.Wzg"
323152|"Überziehbare Knöpfe MS silberf. 30"" 19 mm o.Wzg"
323153|"Überziehbare Knöpfe MS silberf. 36"" 23 mm o.Wzg"
323163|"Überziehbare Knöpfe MS silberf. 45"" 29 mm o.Wzg"
323164|"Überziehbare Knöpfe MS silberf. 60"" 38 mm o.Wzg"
323214|"Überziehbare Knöpfe MS silberfarbig 18"" 11 mm"
323215|"Überziehbare Knöpfe MS silberfarbig 24"" 15 mm"
323216|"Überziehbare Knöpfe MS silberfarbig 30"" 19 mm"
323217|"Überziehbare Knöpfe MS silberfarbig 36"" 23 mm"
323234|"Überziehbare Knöpfe KST weiß 18"" 11 mm"
323235|"Überziehbare Knöpfe KST weiß 24"" 15 mm"
323236|"Überziehbare Knöpfe KST weiß 30"" 19 mm"
323237|"Überziehbare Knöpfe KST weiß 35"" 22 mm"
323238|"Überziehbare Knöpfe KST weiß 45"" 29 mm"
323243|"Überziehbare Knöpfe KST weiß 18"" 11 mm"
323244|"Überziehbare Knöpfe KST weiß 24"" 15 mm"
323245|"Überziehbare Knöpfe KST weiß 30"" 19 mm"
323246|"Überziehbare Knöpfe KST weiß 35"" 22 mm"
323247|"Überziehbare Knöpfe KST weiß 45"" 29 mm"
323250|"Überziehbare Knöpfe MS silberfarbig 24"" 15 mm"
323251|"Überziehbare Knöpfe MS silberfarbig 30"" 19 mm"
323252|"Überziehbare Knöpfe MS silberfarbig 36"" 23 mm"
324251|Überziehb. Schnallen MS rechteckig si-farbig 38 mm
324260|Überziehb. Schnallen MS oval silberfarbig 25 mm
331110|"Patentknöpfe MS 25"" 16 mm schwarz ZEUS"
331111|"Patentknöpfe MS 25"" 16 mm schwarz ZEUS"
331114|"Patentknöpfe MS 25"" 16 mm brün. 13 Sterne"
331120|"Patentknopf-Oberteil MS 25"" 16 mm schwarz ZEUS"
331123|Patentknopf-Stifte MS schwarz ZEUS
331130|"Patentknöpfe MS 25"" 16 mm silberfarbig ZEUS Auslau"
331140|"Patentknöpfe EIS 27"" 17 mm silberfarbig CLEO"
331149|"Patentknöpfe EIS 27"" 17 mm schwarz CLEO"
331153|"Patentknopf-Oberteil EIS 27"" 17 mm schwarz CLEO"
331156|Patentknopf-Stifte EIS schwarz CLEO
331180|Klick-Knöpfe MS alufarbig Saturn
331181|Klick-Knöpfe MS altmessing Aura
331183|Klick-Knöpfe MS altkupfer Octa
331190|"Klick-Knöpfe MS ""Käpt'n Blaubär"
331191|"Klick-Knöpfe MS ""Hein Blöd"
331211|Patentknopf-Stifte MS alteisen 13 Sterne
332220|Patentknopf-Oberteil MS alteisen 13 Sterne
332225|Patentknopf-Oberteil MS altmessing 13 Sterne
332254|Patentknopf-Stifte EIS altmessing 13 STERNE
341112|Annäh-Druckknöpfe MS schwarz 6 mm
341114|Annäh-Druckknöpfe MS schwarz 7 mm
341118|Annäh-Druckknöpfe MS schwarz 9 mm
341120|Annäh-Druckknöpfe MS schwarz 10 mm
341133|Annäh-Druckknöpfe MS schwarz 13 mm
341134|Annäh-Druckknöpfe MS schwarz 15 mm
341135|Annäh-Druckknöpfe MS schwarz 17 mm
341137|Annäh-Druckknöpfe MS schwarz 21 mm
341152|Annäh-Druckknöpfe MS schwarz 6 mm
341153|Annäh-Druckknöpfe MS schwarz 7 mm
341155|Annäh-Druckknöpfe MS schwarz 9 mm
341156|Annäh-Druckknöpfe MS schwarz 11 mm
341157|Annäh-Druckknöpfe MS schwarz 13 mm
341161|Annäh-Druckknöpfe MS schwarz 6 mm
341162|Annäh-Druckknöpfe MS schwarz 7 mm
341164|Annäh-Druckknöpfe MS schwarz 9 mm
341166|Annäh-Druckknöpfe MS schwarz 11 mm
341168|Annäh-Druckknöpfe MS schwarz 13 mm
341169|Annäh-Druckknöpfe MS schwarz 15 mm
341172|Annäh-Druckknöpfe MS schwarz 21 mm
341197|Annäh-Druckknöpfe MS silberfarbig 6 mm
341199|Annäh-Druckknöpfe MS silberfarbig 7 mm
341203|Annäh-Druckknöpfe MS silberfarbig 9 mm
341205|Annäh-Druckknöpfe MS silberfarbig 10 mm
341218|Annäh-Druckknöpfe MS silberfarbig 13 mm
341219|Annäh-Druckknöpfe MS silberfarbig 15 mm
341220|Annäh-Druckknöpfe MS silberfarbig 17 mm
341222|Annäh-Druckknöpfe MS silberfarbig 21 mm
341225|Annäh-Druckknöpfe MS silberfarbig 6 mm
341226|Annäh-Druckknöpfe MS silberfarbig 7 mm
341228|Annäh-Druckknöpfe MS silberfarbig 9 mm
341229|Annäh-Druckknöpfe MS silberfarbig 11 mm
341230|Annäh-Druckknöpfe MS silberfarbig 13 mm
341241|Annäh-Druckknöpfe MS silberfarbig 6 mm
341242|Annäh-Druckknöpfe MS silberfarbig 7 mm
341244|Annäh-Druckknöpfe MS silberfarbig 9 mm
341246|Annäh-Druckknöpfe MS silberfarbig 11 mm
341248|Annäh-Druckknöpfe MS silberfarbig 13 mm
341249|Annäh-Druckknöpfe MS silberfarbig 15 mm
341252|Annäh-Druckknöpfe MS silberfarbig 21 mm
341253|Annäh-Druckknöpfe MS silberfarbig 17 mm
341254|Annäh-Druckknöpfe MS schwarz 17 mm
341270|Annäh-Druckknöpfe MS silberfarbig 6-11 mm
341271|Annäh-Druckknöpfe MS schwarz 6-11 mm
341560|Annäh-Druckknöpfe MS silberfarbig 13 mm Federteil
341561|Annäh-Druckknöpfe MS silberfarbig 13 mm Kugelteil
341562|Annäh-Druckknöpfe MS silberfarbig 15 mm Federteil
341563|Annäh-Druckknöpfe MS silberfarbig 15 mm Kugelteil
341564|Annäh-Druckknöpfe MS silberfarbig 17 mm Federteil
341565|Annäh-Druckknöpfe MS silberfarbig 17 mm Kugelteil
341566|Annäh-Druckknöpfe MS silberfarbig 21 mm Federteil
341567|Annäh-Druckknöpfe MS silberfarbig 21 mm Kugelteil
341580|Annäh-Druckknöpfe MS schwarz 13 mm Federteil
341581|Annäh-Druckknöpfe MS schwarz 13 mm Kugelteil
341582|Annäh-Druckknöpfe MS schwarz 15 mm Federteil
341583|Annäh-Druckknöpfe MS schwarz 15 mm Kugelteil
341584|Annäh-Druckknöpfe MS schwarz 17 mm Federteil
341585|Annäh-Druckknöpfe MS schwarz 17 mm Kugelteil
341586|Annäh-Druckknöpfe MS schwarz 21 mm Federteil
341587|Annäh-Druckknöpfe MS schwarz 21 mm Kugelteil
347105|Annäh-Druckknöpfe KST schwarz 15 mm
347106|Annäh-Druckknöpfe KST transparent 15 mm
347113|Annäh-Druckknöpfe KST rund transparent 7 mm
347114|Annäh-Druckknöpfe KST rund schwarz 7 mm
347118|Annäh-Druckknöpfe KST quadr. transparent 7mm
347125|Annäh-Druckknöpfe KST quadr. transparent 9mm
347132|Annäh-Druckknöpfe KST quadr. transp. 7mm Federteil
347136|Annäh-Druckknöpfe KST quadr. transp. 7mm Kugelteil
347140|Annäh-Druckknöpfe KST transparent 15mm Federteil
347141|Annäh-Druckknöpfe KST transparent 15mm Kugelteil
347153|Annäh-Druckknöpfe KST transparent 21 mm
347155|Annäh-Druckknöpfe KST transparent 7 mm
347156|Annäh-Druckknöpfe KST schwarz 7 mm
347157|Annäh-Druckknöpfe KST weiß 7 mm
347159|Annäh-Druckknöpfe KST transparent 10 mm
347160|Annäh-Druckknöpfe KST schwarz 10 mm
347161|Annäh-Druckknöpfe KST transparent 13 mm
347162|Annäh-Druckknöpfe KST schwarz 13 mm
347168|Annäh-Druckknöpfe KST transparent 10 mm
347169|Annäh-Druckknöpfe KST schwarz 10 mm
347170|Annäh-Druckknöpfe KST transparent 13 mm
347171|Annäh-Druckknöpfe KST schwarz 13 mm
347301|Beutel-Clipse KST groß weiß
347306|Beutel-Clipse KST klein weiß
378151|NF-Druckknopf Kappe MS 3000/24 silberf. wie 390201
378266|NF-Druckknopf Federteil MS 3000 silberfarbig
378274|NF-Druckknopf Kugelteil MS 3000 silberfarbig
378306|NF-Druckknopf Niet MS 3000 silberfarbig
378326|NF-Druckknopf Niet MS 3000 silberfarbig
380310|NF-Druckknopf Federteil MS 380/16 silberf. blau ge
380325|NF-Druckknopf Kugelteil MS 380/16 silberfarbig
380362|NF-Druckkn. Zackenr. 380/16 silbf. ZL3,35 wie39010
390104|NF-Nachfüllp. MS für 390120 gl. Kappe silberf. 10
390106|NF-Nachfüllp. MS für 390107 Zackenring silberf. 10
390107|NF-Druckkn. JERSEY MS Zackenring silberf. 10 mm
390111|NF-Druckkn. JERSEY MS Zackenring weiß 10 mm
390117|NF-Druckkn. JERSEY MS Perlkappe weiß 12 mm
390120|NF-Druckkn. JERSEY MS gl. Kappe silberfarbig 10 mm
390121|NF-Nachfüllp. MS für 390111 Zackenring weiß 10 mm
390122|NF-Nachfüllp. MS für 390117 Perlkappe weiß 12 mm
390127|NF-Druckkn. JERSEY MS Zackenring silberf. 10 mm
390150|NF-Druckkn. JERSEY MS überziehbar 15 mm
390170|NF-Druckkn. JERSEY MS glatte Kappe schwarz 12 mm
390171|NF-Druckkn. JERSEY MS glatte Kappe weiß 12 mm
390172|NF-Druckkn. JERSEY MS glatte Kappe rot 12 mm
390174|NF-Druckkn. JERSEY MS glatte Kappe d'blau 12 mm
390175|NF-Druckkn. JERSEY MS glatte Kappe h'blau 12 mm
390199|NF-Druckkn. SP.&CAMP. MS altmessing 15 mm
390200|NF-Druckkn. SP.&CAMP. MS brüniert 15 mm
390201|NF-Druckkn. SP.&CAMP. MS silberfarbig 15 mm
390202|NF-Nachfüllp. MS für 390201 silberfarbig 15 mm
390205|NF-Druckkn. SP.&CAMP. MS si-farbig HOBBY 15 mm
390211|NF-Druckkn. YACHT&CA MS silberf. anschraubbar 15
390230|NF-Nachfüllp. MS für 390200 brüniert 15 mm
390240|NF-Druckknopf SP.&CAMP. MS brüniert 15 mm
390241|NF-Druckknopf SP.&CAMP. MS silberfarbig 15 mm
390260|NF-Druckknopf ANORAK MS silberfarbig 15 mm
390261|NF-Druckknopf ANORAK MS brüniert 15 mm
390262|NF-Druckknopf ANORAK MS altmessing 15 mm
390299|NF-Druckknopf ANORAK MS altmessing 15 mm
390301|NF-Druckknopf ANORAK MS silberfarbig 15 mm
390302|NF-Druckknopf ANORAK MS brüniert 15 mm
390303|NF-Druckknopf ANORAK MS blau 15 mm
390305|NF-Druckknopf ANORAK MS rot 15 mm
390306|NF-Druckknopf ANORAK MS weiß 15 mm
390307|NF-Druckknopf ANORAK MS schwarz 15 mm
390309|NF-Druckknopf ANORAK MS altkupfer 15 mm
390314|NF-Druckknopf ANORAK MS goldfarbig 15 mm
390321|NF-Nachfüllp. MS für 390301 silberfarbig 15 mm
390327|NF-Nachfüllp. MS für 390302 brüniert 15 mm
390328|NF-Nachfüllp. MS für 390309 altkupfer 15 mm
390330|NF-Druckknopf ANORAK MS silberfarbig 12 mm
